feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	tmp	
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp004166885	Group	PD	-0.204609314	0.119361123	167	21	0.088369016	0.318761013	0.867773651	1.152374238
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__CAG.194.s__CAG.194.sp000432915	Group	PD	-0.203502798	0.21314043	167	34	0.341084307	0.630626985	0.86843947	1.151490731
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Mediterraneibacter.s__Mediterraneibacter.sp934330165	Group	PD	-0.19888723	0.262696139	167	54	0.450069766	0.710790621	0.87122229	1.14781269
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Faecousia.s__Faecousia.sp000434635	Group	PD	-0.187679984	0.246901369	167	57	0.448254773	0.710790621	0.878016536	1.138930714
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Oliverpabstia.s__Oliverpabstia.intestinalis	Group	PD	-0.185659261	0.326931516	167	108	0.570885505	0.813316335	0.879247199	1.137336577
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium_B.s__Lachnoclostridium_B.ammoniilytica	Group	PD	-0.178398461	0.174357028	167	105	0.307720956	0.614517396	0.883683431	1.131626966
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus_A.s__Coprococcus_A.catus_A	Group	PD	-0.174571457	0.240940381	167	103	0.469759123	0.729178341	0.88603067	1.128629103
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UMGS1766.s__UMGS1766.sp900554855	Group	PD	-0.171218501	0.107263377	167	21	0.112347859	0.354065981	0.888092281	1.126009111
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Pseudoscilispira.s__Pseudoscilispira.sp018369915	Group	PD	-0.168618999	0.106919196	167	23	0.116694856	0.362276566	0.889693922	1.123982052
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Vescimonas.s__Vescimonas.sp900552475	Group	PD	-0.168198769	0.127427744	167	24	0.188678667	0.464439795	0.88995311	1.123654705
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA3818.s__UBA3818.sp900557155	Group	PD	-0.167528264	0.148121757	167	52	0.259689062	0.560748554	0.89036682	1.123132598
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Anaerovoracaceae.g__Alangreenwoodia.s__Alangreenwoodia.sp905206455	Group	PD	-0.162511718	0.16982834	167	59	0.340008841	0.630626985	0.893468197	1.119234018
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp900548245	Group	PD	-0.162377869	0.219181147	167	53	0.459844258	0.71915493	0.893551094	1.119130184
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter.faecalis	Group	PD	-0.162080545	0.147223365	167	42	0.272536713	0.578445269	0.893735264	1.118899567
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__COE1.s__COE1.sp001916965	Group	PD	-0.160683525	0.117047464	167	18	0.171675438	0.436895833	0.894601123	1.117816616
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__CAJJNI01.s__CAJJNI01.sp905193085	Group	PD	-0.150059631	0.092476895	167	18	0.106568738	0.343663526	0.901213212	1.109615335
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.sp902363575	Group	PD	-0.144208124	0.233599897	167	30	0.537868356	0.790647477	0.904875916	1.105123899
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lientehia.s__Lientehia.sp934351765	Group	PD	-0.142393664	0.116329587	167	31	0.222676902	0.522209829	0.906014683	1.103734872
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__CAG.217.s__	Group	PD	-0.141527086	0.304529262	167	48	0.642729977	0.846846241	0.906559059	1.103072095
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Ruminococcus_E.s__Ruminococcus_E.intestinalis	Group	PD	-0.140483293	0.317537473	167	23	0.658768422	0.846846241	0.907215194	1.102274308
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.269.s__CAG.269.sp000431335	Group	PD	-0.139661931	0.150595329	167	21	0.355074085	0.635801998	0.907731841	1.101646935
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.fusiformis	Group	PD	-0.138925857	0.362075529	167	134	0.70169993	0.85352974	0.90819509	1.10108501
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__HGM12998.s__HGM12998.sp900756495	Group	PD	-0.13593066	0.078291517	167	17	0.084392981	0.313946565	0.910082564	1.098801405
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.sp900540775	Group	PD	-0.130036645	0.26220911	167	38	0.620605665	0.846846241	0.913808239	1.094321497
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Muricoprocola.s__Muricoprocola.aceti	Group	PD	-0.128594354	0.110193837	167	20	0.244900935	0.550696156	0.914722248	1.093228029
