Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_226S_filtered_2	1.82457819714	47.0	133.149799199	4406352.0	9.09090909091
PD_227P_filtered_1	1.29620443654	47.0	124.807123419	3920196.0	9.09090909091
PD_227P_filtered_2	1.33782958585	47.0	125.042451449	3920196.0	9.09090909091
PD_228S_filtered_1	1.3005184446	47.0	134.660776025	4899070.0	9.09090909091
PD_228S_filtered_2	1.28025746319	47.0	134.75545032	4899070.0	9.09090909091
PD_229P_filtered_1	2.48650894758	48.0	132.475266606	4767623.0	9.09090909091
PD_229P_filtered_2	2.47342946145	48.0	132.632443463	4767623.0	9.09090909091
PD_230S_filtered_1	3.17079105081	46.0	134.971510241	4741037.0	9.09090909091
PD_230S_filtered_2	3.20476814551	46.0	135.096498509	4741037.0	9.09090909091
PD_231P_filtered_1	3.06621754614	47.0	130.09044919	5647657.0	9.09090909091
PD_231P_filtered_2	3.11589522961	47.0	130.268611568	5647657.0	9.09090909091
PD_232S_filtered_1	2.53568609393	48.0	131.4556795	4603310.0	9.09090909091
PD_232S_filtered_2	2.52317101135	48.0	131.570240979	4603310.0	9.09090909091
PD_25P_filtered_1	1.64768316279	47.0	122.209211598	3478354.0	9.09090909091
PD_25P_filtered_2	1.64739101945	47.0	122.555450653	3478354.0	9.09090909091
PD_26P_filtered_1	1.19923684928	49.0	123.926955574	3669.0	9.09090909091
PD_26P_filtered_2	1.19923684928	49.0	124.29326792	3669.0	27.2727272727
PD_27P_filtered_1	1.63678716149	47.0	125.992966538	4435938.0	9.09090909091
PD_27P_filtered_2	1.68731785962	47.0	126.181466919	4435938.0	9.09090909091
PD_28P_filtered_1	0.663550239716	48.0	124.873734773	308739.0	9.09090909091
PD_28P_filtered_2	0.685273060766	48.0	125.123311276	308739.0	9.09090909091
PD_29P_filtered_1	1.84829550566	48.0	127.197374228	3056473.0	9.09090909091
PD_29P_filtered_2	1.91790748429	48.0	127.365720554	3056473.0	9.09090909091
PD_2P_filtered_1	0.989569106149	48.0	126.023347616	2633074.0	9.09090909091
PD_2P_filtered_2	0.967412901887	48.0	126.151070574	2633074.0	9.09090909091
PD_30P_filtered_1	1.15528747114	47.0	127.248431437	2574650.0	9.09090909091
PD_30P_filtered_2	1.11568428636	47.0	127.330001359	2574650.0	9.09090909091
PD_31P_filtered_1	1.91067145731	49.0	125.629806842	3449302.0	18.1818181818
PD_31P_filtered_2	1.88316678216	50.0	125.897247037	3449302.0	9.09090909091
PD_32P_filtered_1	1.38773215507	48.0	121.016102173	3927855.0	9.09090909091
PD_32P_filtered_2	1.39649467309	48.0	121.294995869	3927855.0	9.09090909091
PD_33P_filtered_1	1.71730405676	49.0	125.936332214	4122116.0	9.09090909091
PD_33P_filtered_2	1.77853568046	49.0	126.166742518	4122116.0	9.09090909091
PD_34P_filtered_1	1.82400005752	48.0	122.958814751	4350344.0	9.09090909091
PD_34P_filtered_2	1.82419103184	48.0	123.204605429	4350344.0	9.09090909091
PD_35P_filtered_1	2.21050484129	46.0	125.505645185	4098271.0	9.09090909091
PD_35P_filtered_2	2.14469657854	46.0	125.752384359	4098271.0	9.09090909091
PD_36P_filtered_1	1.28635346756	47.0	125.521252796	1788.0	27.2727272727
PD_36P_filtered_2	0.89485458613	47.0	124.725950783	1788.0	9.09090909091
PD_38P_filtered_1	2.73078974068	44.0	124.217009657	3475661.0	9.09090909091
PD_38P_filtered_2	2.73037032229	44.0	124.444379357	3475661.0	9.09090909091
PD_39P_filtered_1	1.04290104788	48.0	124.931066528	2190866.0	9.09090909091
PD_39P_filtered_2	1.04604440573	48.0	125.12285279	2190866.0	9.09090909091
PD_3P_filtered_1	1.27429790156	47.0	123.302730471	3563414.0	9.09090909091
PD_3P_filtered_2	1.28949998723	47.0	123.536594962	3563414.0	9.09090909091
PD_40P_filtered_1	4.81410098062	45.0	127.007434715	3059297.0	9.09090909091
PD_40P_filtered_2	4.81860365538	45.0	127.163212333	3059297.0	9.09090909091
PD_41P_filtered_1	1.75545482735	47.0	132.498361656	3040876.0	9.09090909091
PD_41P_filtered_2	1.7693364065	47.0	132.560958092	3040876.0	9.09090909091
PD_42P_filtered_1	2.67880050256	48.0	127.896395095	4034558.0	18.1818181818
PD_42P_filtered_2	2.70346878212	48.0	128.143829882	4034558.0	18.1818181818
PD_43P_filtered_1	1.06746392861	49.0	123.549325376	2396150.0	9.09090909091
PD_43P_filtered_2	1.03415918353	49.0	123.771876552	2396150.0	9.09090909091
PD_44P_filtered_1	1.55371922616	47.0	126.225730866	3398844.0	9.09090909091
PD_44P_filtered_2	1.53103756759	47.0	126.458804817	3398844.0	9.09090909091
PD_45P_filtered_1	1.54431123881	47.0	127.248350457	4303769.0	9.09090909091
PD_45P_filtered_2	1.5193801138	47.0	127.571692161	4303769.0	9.09090909091
PD_46P_filtered_1	1.96034325541	50.0	125.852342781	3673156.0	9.09090909091
PD_46P_filtered_2	1.95042565897	50.0	126.097126286	3673156.0	9.09090909091
PD_47P_filtered_1	1.69038522896	48.0	127.740527712	3277244.0	9.09090909091
PD_47P_filtered_2	1.67113806902	48.0	127.927077142	3277244.0	9.09090909091
PD_48P_filtered_1	1.70824432877	47.0	127.069649496	3137424.0	9.09090909091
PD_48P_filtered_2	1.67330809462	47.0	127.20134161	3137424.0	9.09090909091
PD_4P_filtered_1	1.06730855609	48.0	122.070409537	3313500.0	9.09090909091
PD_4P_filtered_2	1.06484303464	48.0	122.351728384	3313500.0	9.09090909091
PD_50P_filtered_1	0.894668245061	47.0	126.573941595	218064.0	9.09090909091
PD_50P_filtered_2	0.921044122302	47.0	126.862783403	218064.0	9.09090909091
PD_51P_filtered_1	1.90525660471	46.0	129.280906519	3407671.0	9.09090909091
PD_51P_filtered_2	1.94517494831	46.0	129.387932697	3407671.0	9.09090909091
PD_52P_filtered_1	0.956083473224	50.0	125.424504586	2528743.0	9.09090909091
PD_52P_filtered_2	0.966210707182	50.0	125.642271279	2528743.0	9.09090909091
