feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum	Group	PD	GroupPD	0.740555038	0.237902005	0.269017648	0.067405999	0.478618681	0.067405999	0.478618681	NA	abundance	146	66
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625	Group	PD	GroupPD	1.262550493	0.237902005	0.535813192	0.06935492	0.478618681	0.06935492	0.478618681	NA	abundance	146	24
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__Woodwardibium sp900760275	Group	PD	GroupPD	0.535135576	0.237902005	0.154355359	0.070109139	0.478618681	0.070109139	0.478618681	NA	abundance	146	25
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp900066535	Group	PD	GroupPD	-0.098133384	0.237902005	0.178763484	0.070657831	0.478618681	0.070657831	0.478618681	NA	abundance	146	40
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__UMGS1696 sp900753285	Group	PD	GroupPD	-0.100325352	0.237902005	0.170413236	0.070946995	0.478618681	0.070946995	0.478618681	NA	abundance	146	15
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis	Group	PD	GroupPD	-0.650513156	0.237902005	0.471488244	0.0721069	0.478618681	0.0721069	0.478618681	NA	abundance	146	26
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea fessa	Group	PD	GroupPD	-0.027316668	0.237902005	0.143864991	0.073352142	0.478618681	0.073352142	0.478618681	NA	abundance	146	84
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	Group	PD	GroupPD	-0.014350407	0.237902005	0.137537005	0.074371825	0.478618681	0.074371825	0.478618681	NA	abundance	146	107
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	Group	PD	GroupPD	-0.077248591	0.237902005	0.177980858	0.083746272	0.530393058	0.083746272	0.530393058	NA	abundance	146	75
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	Group	PD	GroupPD	0.67983551	0.237902005	0.255812252	0.093483614	0.572873846	0.093483614	0.572873846	NA	abundance	146	41
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	Group	PD	GroupPD	1.018210521	0.237902005	0.459526476	0.09464875	0.572873846	0.09464875	0.572873846	NA	abundance	146	67
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp900552195	Group	PD	GroupPD	-0.146447107	0.237902005	0.224117869	0.094761087	0.572873846	0.094761087	0.572873846	NA	abundance	146	49
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	Group	PD	GroupPD	1.641487833	0.237902005	0.823117767	0.099242062	0.579532645	0.099242062	0.579532645	NA	abundance	146	30
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella merdigallinarum	Group	PD	GroupPD	-0.100652279	0.237902005	0.188207209	0.09986633	0.579532645	0.09986633	0.579532645	NA	abundance	146	14
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini	Group	PD	GroupPD	-0.552580789	0.237902005	0.461803859	0.101422097	0.579532645	0.101422097	0.579532645	NA	abundance	146	24
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes_A	Group	PD	GroupPD	-0.070862219	0.237902005	0.186954318	0.104276561	0.579532645	0.104276561	0.579532645	NA	abundance	146	120
