# Pathway,PD_100P,PD_104P,PD_105P,PD_108S,PD_109S,PD_10P,PD_110S,PD_111P,PD_113P,PD_114P,PD_115S,PD_116P,PD_117,PD_118,PD_119P,PD_11P,PD_120S,PD_121S,PD_122S,PD_123P,PD_126P,PD_127S,PD_128S,PD_129P,PD_12P,PD_130S,PD_131P,PD_134S,PD_137P,PD_138S,PD_13P,PD_140S,PD_141P,PD_142S,PD_145P,PD_146S,PD_147,PD_148P,PD_149S,PD_14P,PD_150P,PD_151S,PD_152P,PD_153S,PD_156P,PD_157S,PD_158P,PD_159S,PD_15P,PD_160P,PD_162P,PD_163S,PD_164P,PD_165S,PD_166,PD_167P,PD_169P,PD_16P,PD_170S,PD_171P,PD_172S,PD_173P,PD_174S,PD_175P,PD_176S,PD_177P,PD_178S,PD_179P,PD_180S,PD_181P,PD_183P,PD_184S,PD_188S,PD_189P,PD_190S,PD_193P,PD_194S,PD_195,PD_196,PD_197,PD_198,PD_1P,PD_200S,PD_203,PD_204,PD_205P,PD_206S,PD_207P,PD_208S,PD_209P,PD_210S,PD_213S,PD_214S,PD_215S,PD_221P,PD_222S,PD_223P,PD_224S,PD_225P,PD_226S,PD_227P,PD_228S,PD_229P,PD_230S,PD_231P,PD_232S,PD_25P,PD_27P,PD_28P,PD_29P,PD_2P,PD_30P,PD_31P,PD_32P,PD_33P,PD_34P,PD_35P,PD_38P,PD_39P,PD_3P,PD_40P,PD_41P,PD_42P,PD_43P,PD_44P,PD_45P,PD_46P,PD_47P,PD_48P,PD_4P,PD_50P,PD_51P,PD_52P,PD_53P,PD_54P,PD_55P,PD_56P,PD_57P,PD_58P,PD_59P,PD_5P,PD_60P,PD_63P,PD_64P,PD_65P,PD_66P,PD_6P,PD_70P,PD_73P,PD_74P,PD_75P,PD_76P,PD_77P,PD_78P,PD_79S,PD_7P,PD_82P,PD_84P,PD_8P,PD_9P
PWY-5918: superpathway of heme b biosynthesis from glutamate,93.82247997,48.31259946,37.04589776,62.34099599,0,0,0,498.1510003,451.9944517,527.4953867,0,0,69.11661366,18.78898082,383.1007493,0,64.11876097,0,0,0,41.77391649,175.8292304,0,0,92.56856396,29.53991689,0,0,0,0,0,217.2415788,84.56856748,0,76.7717101,0,32.4904464,92.12227242,46.17564383,0,0,0,30.30986198,836.4114035,27.20553435,19.49592287,0,194.7382046,269.8426019,24.28640497,563.7519338,172.1892451,0,54.05741381,0,215.9921602,36.72881233,37.96820141,0,0,0,23.03590772,0,0,18.69435907,0,33.08433578,1729.677986,0,21.87548647,57.87877466,0,26.09890277,0,0,27.09711674,0,340.8217503,795.4566607,158.6976213,0,24.15347741,0,127.6599508,60.43653414,339.7625196,0,0,0,30.13899477,0,0,0,51.13567474,52.30958503,0,433.3741642,0,0,0,0,0,335.9559895,0,49.11589104,992.711835,0,44.7241437,0,69.45299318,0,0,66.50315904,0,0,84.35599,87.76283049,0,0,205.6927169,249.0051155,0,44.57046062,55.37244771,0,0,536.028123,0,236.0764721,84.12992031,0,0,0,0,0,1061.533995,66.13630021,147.6682028,72.46339611,0,440.5829954,45.20275382,0,37.8483598,0,0,146.8334412,0,0,472.4595524,0,341.0860158,33.30840692,0,60.81092191,34.83408059,0,0,244.4347391,0
PWY-5920: superpathway of heme b biosynthesis from glycine,49.35825487,12.46929958,25.6051812,33.31622601,0,0,0,326.0975841,313.3637756,409.3223085,0,0,0,0,279.4946004,0,26.20060766,0,0,0,0,60.15317797,0,0,39.9866087,0,0,0,0,0,0,75.54322805,9.959477153,0,34.3109218,0,0,51.29522623,20.77843603,0,0,0,0,413.1462131,0,0,0,122.961105,105.3804919,0,413.5760409,110.8503225,0,0,0,138.0924201,0,0,0,0,0,0,0,0,0,0,0,1442.374877,0,0,0,0,15.87853833,0,0,0,0,235.1888086,588.7615383,73.05739869,0,0,0,0,28.0297522,256.9773887,0,0,0,0,0,0,0,0,0,0,295.9356965,0,0,0,0,0,60.68890069,0,25.87567983,645.5416492,0,26.93561877,0,0,0,0,7.688894956,0,0,0,0,0,0,132.1125436,52.44825726,0,0,27.92356759,0,0,391.4973467,0,148.9800829,0,0,0,0,0,0,766.0931332,0,64.19736642,0,0,315.782716,0,0,17.70030355,0,0,57.20869023,0,0,302.3037697,0,236.6673117,0,0,39.12912194,18.0323384,0,0,117.0138936,0
PWY-5941: glycogen degradation II,1910.151959,2932.404688,2305.285857,3612.797888,2898.966438,849.9752037,1940.905691,1769.089956,2907.334754,1870.666491,2557.991266,4040.121013,1635.045433,2091.076257,1754.426488,2519.151565,1870.302003,1215.391386,1915.347362,1600.602937,1331.14685,2295.043125,3086.229471,1888.36341,1191.794114,1930.653554,1047.028537,3998.141497,2668.843842,1184.875137,1687.856647,5254.232261,3577.431747,3030.388943,3015.897716,1914.871248,2645.986285,3261.357538,1042.632353,1859.298384,1476.293636,2344.33582,1676.419913,4061.260018,2469.630094,2736.469763,3520.200027,4660.098914,2057.63617,2688.989786,2649.56438,2957.292141,1979.272367,2247.206345,2420.109475,1321.251003,1534.365752,2328.226682,2332.995531,2323.309643,1341.197347,1549.910153,2702.720328,1272.184758,2459.547217,1862.022345,3731.969414,6669.820368,2671.10806,2348.94894,3431.605772,5411.689094,2502.573302,2771.009221,2743.76028,2426.760897,2622.972574,1314.512355,3713.563077,2380.643988,2001.616381,728.496789,2409.003955,1765.991815,822.7681745,1225.220241,2710.694554,4055.293036,1977.42376,3727.61134,2501.80542,3052.404355,2484.743771,3710.574197,2348.252778,2634.836676,2566.692233,5234.65512,3457.955259,2103.382767,2182.808054,2557.978313,4170.293037,4592.565815,3880.394508,3634.364208,1534.252679,1943.738276,0,1501.010899,1134.396289,1326.700924,1976.12588,2102.123792,2134.904361,1386.786915,3557.95435,2506.303099,644.8115712,2055.340997,2318.315283,1109.197513,3297.551186,1172.210656,2577.26733,2521.04374,1980.5263,1549.080767,1936.990493,1490.760204,59.72783368,2024.407382,964.077146,1266.231696,1671.165674,3464.442,4488.020976,2850.003136,1301.909041,726.6901075,1947.891972,1191.727991,1896.637419,1954.328053,1256.717941,2087.523948,1291.592238,1440.051607,451.340254,3026.217487,1629.499773,1189.984236,1373.021682,976.9503127,2110.051366,2600.42042,2013.321001,621.7885481,1568.617801,2892.59645
PWY-5971: palmitate biosynthesis (type II fatty acid synthase),333.7769238,398.0698797,757.2147581,0,284.7536572,0,207.1647341,1183.666316,1610.423115,1076.602275,423.4729764,35.50859025,212.0206948,0,875.8025269,234.0866207,232.2152611,106.1315009,105.7790224,0,363.4031895,271.9774724,252.9728922,943.4764876,0,468.5739151,0,465.6488023,219.5270927,282.3172594,0,442.2280892,173.1814059,0,536.9781154,0,298.592338,351.7040884,149.7873616,136.1390821,0,0,524.9770059,0,159.0748895,274.669836,303.1429469,781.6781532,826.8763218,640.2286177,1245.163042,598.1684659,355.4272023,1109.572872,41.63847339,779.8092299,563.7486454,292.5642194,251.6326079,0,320.9055826,126.3604127,536.3068081,445.7323321,496.4997199,342.6733144,0,2336.343019,0,247.7560168,701.3858162,310.8403285,0,0,160.2794648,487.3562036,0,1008.372354,1812.743276,686.0486151,0,0,0,455.4290589,418.1666721,815.2855041,223.6763776,267.4018514,0,272.4943745,230.64807,442.0504375,0,539.296697,365.471707,90.05810985,1500.932505,328.8798442,503.4613185,397.8326318,253.0606179,220.3365281,1246.769403,214.8239502,396.9259469,1385.541826,272.7867162,111.6085412,0,435.8272385,189.9454562,0,785.1311959,0,0,560.1198442,138.595516,0,0,720.9928281,685.956059,102.1456296,0,270.8113951,249.1916948,251.3739799,872.7117382,501.4214032,795.1496563,309.3175159,0,0,0,0,0,1164.101401,397.9269025,178.5863959,672.1570389,0,724.0905179,270.976186,194.1110038,318.6299137,265.2068644,0,322.3145312,117.7880653,0,751.788277,145.9694578,917.1858771,79.30121632,233.0756517,138.1782086,0,100.313275,125.2397738,344.2472693,484.6287452
PWY-5972: stearate biosynthesis I (animals),29.04423702,0,8.218946839,0,0,0,0,0,92.43747581,112.7269015,0,0,0,0,10.77387215,0,0,3.543872581,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96047158,14.56776736,0,12.18614767,0,0,6.658870748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03034353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0718941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91834695,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31959334,0,0,0,0,0,0,0,0,0,31.00107304,0,0,0,0,0,0,0,0,0,0,0,9.590968651,0,0,0,0,12.38045329,0,0,24.53028387,0,0,0,0,14.0678168,0,0,0,0,0,0,11.1811051,0
PWY-5973: cis-vaccenate biosynthesis,382.9443006,986.9449306,734.9118238,553.7918322,736.5505719,346.9085569,1062.189464,1228.29222,1847.687565,1181.293655,1081.503377,243.4800668,659.7774016,671.8287488,948.8366136,681.5399566,328.9197069,609.7660371,332.8503498,1168.822356,1227.213351,763.529207,420.1187188,1084.007449,494.2929383,1234.084056,890.3831436,1135.464933,716.2228383,903.8119858,746.4659099,480.2461777,197.5267415,162.7988331,960.8156498,830.5523241,952.7779958,1017.401003,314.4095784,458.5823575,1341.656018,336.7250255,639.7817826,1799.10852,211.8247513,1081.150339,565.2053935,934.3389793,848.1505682,1000.432654,1152.800082,1177.222152,780.8803175,1328.653212,120.8174714,1411.71666,1403.415994,587.225199,522.4797707,1237.511623,486.357499,656.740937,768.52944,1115.837392,904.7324727,903.9644114,932.2232664,1954.464179,451.3128102,497.7585005,1318.290931,1021.208136,578.1234569,307.4299554,525.2060125,1705.623646,536.154121,1208.429236,1814.050978,1032.861034,629.7067922,805.5382812,707.663657,718.0552905,1097.806879,921.7435589,843.2900364,254.9625456,836.0051897,536.0613156,779.9823484,909.3196208,1010.196007,1627.693299,713.1395208,491.9113549,2050.952231,369.4493141,1017.51965,1150.175638,870.0578286,834.9279511,1158.640901,296.8512193,709.9661427,1218.039523,407.4811879,408.8457896,22.87088333,510.8248097,293.3763447,298.6531106,1129.95899,961.49554,435.4075049,1265.026252,245.5252282,83.03960018,340.5108177,955.504189,936.932373,644.3720688,723.4513725,380.0286144,294.414088,628.1381305,796.033646,910.077038,828.741449,725.2776385,0,648.379321,438.2108536,682.7873271,1076.757081,955.0925025,399.8216528,193.2520975,1055.97372,439.9774314,746.5960069,651.3403217,260.8178203,664.7669609,952.1460014,118.6822805,338.7927177,347.6585419,68.30481883,918.0533472,346.2147334,1184.210109,610.8670504,555.412669,783.7248622,136.6840271,362.7415738,300.4623236,664.0480495,574.9345948
PWY-5981: CDP-diacylglycerol biosynthesis III,291.7269897,38.59650982,66.46999064,313.5557298,0,194.3871499,0,11.86742921,1289.215307,392.893557,4.812788734,315.5123366,180.823339,29.22564775,430.1971259,825.842333,57.19877383,263.1355084,0,3.828484766,397.0079782,641.5045754,0,312.7000579,343.7883327,155.391871,31.5509632,173.4703384,209.4638538,26.40930983,163.0412982,159.2786667,112.1457037,65.40647364,8.833285875,132.5881069,0,63.10738644,141.3521184,384.7113634,945.6472353,371.4663403,169.6792284,472.0829656,33.16691613,38.74065885,205.0215173,269.5241389,45.4395553,68.84603216,12.94607572,264.3303903,200.0859948,626.8122343,0,278.9725412,565.2431746,82.31748173,26.13111481,0,0,173.6321803,86.01499278,56.193122,17.61379999,0,0,436.3528091,304.4681206,1090.564168,23.6275714,98.12696698,92.34030619,146.8057015,43.96648135,112.0247347,48.39265826,656.1448738,460.2287753,339.1284012,59.41023564,331.9794407,169.8867593,122.2580723,190.2077652,361.8786646,170.8492701,388.9065847,0,119.882667,0,0,26.40372588,0,89.98318,305.4805046,816.3375853,168.2463461,38.52100754,177.5447257,0,177.3958396,482.8388431,214.745458,270.1118279,88.36342439,240.5556561,17.92934613,0,35.47052425,265.9065372,139.8132246,314.282046,0,0,35.82045359,65.92954307,0,186.9279894,174.2778566,315.143551,384.1004787,1181.229167,22.73702522,159.4779267,171.1313026,499.1873948,466.8665407,462.219742,48.60119298,0,94.3060919,157.5678958,291.3550907,407.8605729,1302.285474,49.62044765,0,974.8780587,0,335.6714487,468.9223099,175.5040629,319.6985242,549.1042535,85.53467103,0,211.8131978,87.98291972,89.43103841,81.49450886,573.6363662,240.1894838,201.4586594,79.28174062,47.66396671,64.96244216,226.9472211,37.62178493,48.41468446
PWY-5989: stearate biosynthesis II (bacteria and plants),338.906608,333.8008871,751.4836191,318.0066672,234.9777688,45.5507101,150.5983442,1109.866834,1460.294893,1031.658493,315.1024254,168.7391052,165.0650542,156.5388557,804.0822226,171.183269,204.9786828,97.21923289,74.98346248,621.3890161,251.0800996,185.7665429,211.0873455,873.7030138,297.2802856,340.9994024,202.0790729,340.80496,155.9495796,204.1371013,181.2689712,407.870546,161.9755223,112.7709892,445.1984734,55.37854708,215.1887475,575.7792199,119.0545986,93.80455601,393.2998584,214.1049452,483.4951854,1672.136397,139.3914147,192.9093138,256.8142656,698.2329478,783.6141553,586.5623474,1112.964495,761.6382116,320.0450436,1029.365511,61.63478111,673.7508933,451.0908782,222.8243251,189.6683896,525.2468478,259.32365,85.94745999,517.6972532,357.9651181,384.9677494,260.1649474,239.5176279,1976.342315,225.2645733,196.8306468,603.5833201,244.5649461,103.2432766,161.7235252,128.1572553,362.2845334,304.1821911,952.0456533,1651.591273,605.9086411,12.86472953,270.820469,80.20283395,376.6011024,317.8833861,789.3185363,188.6659015,242.5753916,397.5607904,214.696784,163.5534286,351.3302895,60.2468338,411.3114161,329.0277399,220.7696621,1397.34962,310.2308041,394.2630824,398.0932624,191.7020087,154.0801134,1108.455244,238.4869111,346.270357,1177.562218,227.2710598,81.92074713,0,401.0050062,155.3582064,17.07765079,778.2127963,348.9089297,141.555047,542.2983636,142.8443117,0,146.3960137,689.6925008,725.624554,70.58736521,435.3642735,237.8022871,231.6571993,186.8354532,803.5411141,458.9070336,701.6876256,304.0589868,0,0,130.2935835,90.55045741,339.068856,987.5678314,349.8808417,165.9785984,570.9366853,61.22888019,681.257645,211.3156579,189.6243684,246.0231002,183.1996373,52.33856754,286.7853055,129.1867538,56.47941324,982.542444,109.3376969,818.0529599,52.1402806,169.2435591,479.243974,36.69983028,122.9737507,94.10425555,387.5004337,443.8324267
PWY-5994: palmitate biosynthesis (type I fatty acid synthase),45.47541845,43.82753888,62.46687541,0,0,0,18.80749448,0,47.16989087,0,0,0,0,0,0,0,0,0,17.32800135,0,0,0,0,257.1059617,0,0,0,70.85497724,0,0,0,12.21209237,0,0,0,0,0,0,0,0,0,0,0,0,0,40.26857396,15.21614331,70.51311843,17.84247863,60.93747577,0,0,39.33178391,0,0,0,0,0,0,0,16.84778865,0,0,0,0,45.31671525,0,0,0,0,93.95035046,0,0,0,0,98.33355615,0,27.18084859,0,41.5267428,0,0,0,50.35501084,0,0,0,0,0,31.62970995,0,0,0,65.2801622,0,0,0,0,0,0,22.29622544,39.42513074,0,32.97463834,37.46702845,23.0328437,19.30821083,0,0,60.4070048,0,0,37.16168409,0,0,0,0,0,0,0,0,0,0,9.05043936,0,0,17.22477863,35.04694137,14.60889982,0,0,0,0,0,0,13.91663679,0,0,37.19990442,0,0,26.86993193,12.06597363,0,0,0,0,0,0,83.41824393,0,31.28485592,13.83141268,0,0,0,26.66346965,0,0,15.63477469
PWY-6075: ergosterol biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6113: superpathway of mycolate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.70909646,0,0,0,75.35682434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.02010538,0,25.01424495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.03135885,0,0,0,0,0,0,0,0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,1451.256054,2284.185035,1365.308799,2654.744333,2171.926811,831.0748152,1812.642438,2010.811495,2623.196263,2003.20103,1980.586392,3190.577916,1534.167107,1840.49818,1686.749831,2349.986356,1423.076498,2171.841627,1814.912615,1783.408969,2208.269879,2270.814972,2658.637292,1666.230249,1466.236922,1850.662138,1672.305463,2975.201505,2242.33465,1258.592591,1876.166794,3923.433595,2744.760765,2077.603595,2599.272917,1687.783042,1976.657341,2696.182605,1512.908572,1775.200018,1959.332348,1986.499668,1702.779171,2876.262336,2044.831466,2151.816696,2670.229944,3029.01903,1668.326789,2359.029776,2294.585494,2656.177714,1471.900173,2340.365458,1769.384162,1755.797359,2072.057615,1996.157976,1804.674121,2066.603901,1103.317912,1960.862069,2314.569662,1459.753006,2254.820995,1419.903507,2785.45225,4391.447114,2124.708918,2348.44095,2694.555423,3865.573037,1923.219066,2109.491459,2244.634503,2041.998769,1704.604128,2987.277798,3394.066438,2196.964255,1860.977369,1077.787706,2244.79829,1773.862582,1559.788253,1521.159859,2443.256386,2751.783155,1779.945845,2659.708461,1993.593744,2826.075096,1794.24384,2904.383007,2000.215313,2137.371719,3266.778565,3965.682495,2736.253687,1890.558058,1760.3331,2088.044295,2924.646142,2899.419008,2766.29327,3089.796407,1495.965189,1971.254717,27.92478017,1311.066718,1233.627019,1083.414233,1594.941521,1765.141421,1571.06602,1597.947005,2543.909111,1628.875874,746.8264711,1710.848294,1620.886703,1255.690091,2601.140444,1011.713504,1687.43265,1998.221876,1670.139032,1697.187278,1541.861471,1197.306738,29.19794511,1646.523793,972.042492,1409.696145,1479.030338,2489.888494,3334.574566,2416.00556,1619.403065,894.962327,1685.452387,1491.57002,1453.264193,1508.209107,1202.511458,1382.086368,1149.342531,1558.897033,333.3856314,1997.507411,1363.18182,1466.166639,1326.336721,1095.799143,1748.506152,1864.82243,1560.60874,1082.067645,1557.441053,1696.045704
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,1521.494196,2305.778887,1592.097522,2686.406632,2112.477344,847.7743576,1820.958568,2193.768425,2843.84315,2111.677701,1986.956825,3327.638434,1583.515152,1885.76219,1760.99777,2409.606508,1468.397415,2228.630603,1884.460861,1770.582932,2292.816107,2391.069898,2723.61395,1705.643358,1491.592151,1820.922247,1664.505381,2990.623294,2211.00034,1234.838889,1916.963548,4022.735169,2907.070654,2137.11189,2652.139047,1690.889,1954.089167,2699.379212,1591.982957,1816.839722,2029.464323,2028.391205,1812.888646,2996.28449,2067.16337,2186.924078,2673.510849,3179.504428,1665.93843,2427.560688,2280.592732,2656.769543,1516.066827,2337.542304,1906.920483,1795.067793,2104.180108,2052.074305,1825.583969,2065.963378,1137.077623,1997.882837,2282.058146,1458.992511,2354.286881,1481.230846,2792.239236,4740.991088,2145.428646,2507.32482,2717.732678,3884.782301,1946.359069,2179.06991,2265.926384,2056.038262,1764.885908,3127.52972,3471.743144,2312.417889,1826.530652,1211.632991,2320.515612,1871.963548,1576.665046,1535.027723,2429.208484,2924.926968,1774.310047,2704.331609,1985.695619,2862.550757,1813.032495,2874.615415,2082.841746,2160.214168,3296.230902,4082.251002,2717.622485,1841.989449,1863.158683,2071.403696,2919.916971,2917.452549,2802.556203,3252.003589,1559.128157,2088.808261,26.56129269,1442.471742,1255.719003,1091.478032,1658.520768,1746.060176,1592.70878,1601.00661,2552.111961,1695.692107,790.5571836,1724.987449,1606.208438,1234.644619,2619.920508,1022.412353,1814.824302,2122.435802,1723.891564,1714.75256,1561.643831,1169.593961,29.77387996,1688.527605,979.6263378,1400.406733,1512.771682,2556.432422,3585.001251,2481.017306,1636.460782,883.1100005,1797.874447,1530.294762,1560.63778,1529.686584,1275.190792,1379.124844,1211.173884,1568.417158,333.9652213,2027.754547,1359.502349,1537.194697,1337.014671,1126.761004,1783.23572,1913.51355,1552.844673,1111.616814,1610.280455,1787.914456
PWY-6123: inosine-5'-phosphate biosynthesis I,1192.648546,1801.099001,1362.01559,1890.273539,1708.986806,564.4509786,1508.086142,1417.637493,2503.661781,1525.035375,1742.635174,1975.331685,1536.747921,1446.98507,1473.622558,1975.693873,1096.957019,1310.548898,1055.47639,1647.873325,1804.322186,1396.053839,1841.796976,1401.777791,947.5621539,1742.981343,1065.184414,2371.646619,1738.697458,1082.318419,1406.388321,2527.692299,1583.884029,1498.877582,1830.439562,1505.241784,1510.747715,2136.86934,1218.311875,1128.43361,1838.057802,1378.137582,1202.249231,1778.402696,1305.77544,1785.247357,1922.478103,2164.1385,1237.130208,2085.756973,1574.575536,1927.949805,1246.428066,1953.176363,876.5336085,1613.077889,1909.956453,1328.651395,1281.353585,1680.597189,840.4058369,1489.526385,1668.277927,1313.738289,1755.379723,1145.270831,1947.509382,2759.43495,1668.0947,1768.450204,2256.335471,2755.842575,1176.535278,1335.615912,1539.580448,1965.643958,1303.364928,2242.735177,2107.861935,1832.556511,1198.080532,1106.39332,1380.007743,1345.860768,1391.28665,1298.090936,1900.042843,2010.28131,1405.871363,1888.582709,1494.926042,2054.980946,935.4676164,2513.943121,1750.547524,1408.619985,2824.328445,2499.499167,2098.797041,1609.569346,1289.944902,1416.31304,2361.066695,2155.007372,2161.214061,1920.807085,1007.341298,1049.979297,41.83300335,994.8350409,814.8978476,768.0007297,1683.11239,1588.408425,1260.922419,1473.506177,1413.100484,1299.496729,630.2418357,1365.418582,1263.575046,1138.435154,2387.569969,765.084444,1200.350739,1572.755538,1374.61068,1537.53658,1043.09498,952.4220904,16.22293079,1312.654288,882.5371037,1052.05235,1429.776431,1777.554146,2126.107542,1393.150092,1669.097042,713.6183319,1269.793676,1126.369975,1041.727657,1230.684712,758.3589109,911.5931036,639.0585065,931.3225639,322.619439,1598.735511,984.629159,1309.235719,1194.752805,906.1929701,1442.736099,1204.850824,1129.332453,714.3414699,1295.405631,1623.267119
PWY-6124: inosine-5'-phosphate biosynthesis II,1141.965078,1705.010734,1317.854049,1780.837294,1606.140909,523.9922722,1453.080856,1356.354807,2468.402851,1456.763454,1673.552087,1829.376669,1460.991481,1377.330138,1402.652453,1875.864469,1030.941884,1213.243421,971.7914976,1570.32226,1707.300276,1282.604037,1724.957974,1405.131211,880.4223014,1658.882063,980.6323253,2218.949868,1633.19433,1019.627072,1336.187737,2367.088641,1440.832788,1391.033386,1709.426344,1445.674656,1407.804966,2025.085282,1151.564721,1061.667957,1791.912715,1279.51489,1125.856426,1631.489705,1210.028728,1697.388083,1788.973968,2024.365016,1168.813478,1974.104034,1519.602813,1811.056381,1179.955627,1870.346081,795.3643537,1577.830964,1813.98302,1235.468795,1213.110933,1581.904889,772.1729735,1404.89112,1575.519228,1263.580841,1654.706447,1073.863653,1822.093546,2252.472303,1570.107727,1671.312888,2167.186462,2566.93182,1080.064217,1232.917785,1465.432409,1915.460233,1233.534139,2157.068868,1983.807808,1734.285936,1119.60412,1059.432613,1276.94208,1259.160706,1366.302064,1261.493203,1788.108063,1849.680243,1320.431543,1763.733261,1409.983362,1943.236266,842.9265653,2419.011157,1667.353747,1303.34595,2733.68246,2304.396479,1962.740779,1528.629348,1214.894976,1323.034141,2249.413357,2002.731294,2074.093385,1818.878492,925.8626026,965.1125493,41.50501705,930.15716,764.7108551,723.5088333,1688.327061,1512.614682,1191.835003,1403.152771,1294.389954,1215.902638,590.9096289,1306.299076,1226.22888,1084.438585,2294.404148,722.8575346,1119.845572,1501.174452,1317.753278,1473.253159,986.8475305,910.0570389,14.81289239,1250.91367,850.5131785,978.9616599,1388.398537,1508.870041,1974.546592,1284.690293,1632.827269,690.0153063,1220.662975,1068.396517,968.8648353,1166.995719,700.8980334,855.1265338,580.3677931,867.978212,317.5935487,1507.793557,924.8130667,1314.038258,1140.120016,875.4921856,1355.253993,1112.43976,1053.390603,654.2880684,1253.272708,1524.479052
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,789.4981812,733.1470929,550.4870994,492.1164055,540.0914065,375.2330051,610.1478268,873.229526,1073.96963,1150.495177,981.5543205,502.4505766,811.1500074,399.6766522,866.5384246,977.2367041,481.1858867,822.6543953,279.0718621,1079.764754,764.1950031,433.1615761,473.3465454,460.6452624,493.4812149,576.1832665,518.5820288,581.7490704,489.2860542,881.459259,947.9462716,649.1234391,878.5369849,72.50268563,995.2829611,688.527957,557.1778046,665.1023305,589.5475298,311.4154718,692.111978,267.7143748,413.4020756,1839.275403,319.9959042,490.2132612,633.0160992,576.3202259,389.6168909,446.6947549,483.2353901,580.4761935,456.2157821,846.5575992,241.1355151,1088.997257,1012.699397,480.8547195,552.4910904,957.4565161,196.7406113,533.4332332,1125.834439,501.390986,623.8248371,533.1501635,446.3012082,1734.452556,627.4729658,1022.919937,910.5754746,652.7691367,138.743922,399.2742923,375.1045544,1375.742757,218.1880598,1381.072756,1273.336293,708.7189378,555.4394821,313.3418049,486.9616702,831.9226955,891.4824404,813.581462,696.400765,1157.369424,521.9756756,342.3814648,328.2892286,643.293649,490.9028705,1117.310778,861.1065869,434.2736969,1277.460622,417.2060767,765.6078919,877.6132249,365.8108569,436.7138872,1048.023936,631.7782187,799.0953132,1325.72901,111.9293128,498.9609882,19.9566459,417.5675393,97.94729397,244.0554943,906.3016963,652.8028017,505.1299159,733.2751287,455.5319589,110.8483828,263.9568948,569.3070234,310.011544,792.0047178,1561.521729,236.1874309,418.8827361,567.9040053,718.4053702,567.3088398,343.8404572,433.2988516,21.53488827,370.7995619,523.3811657,303.0764471,900.8123798,1292.909214,557.2711839,67.26133191,1182.389109,170.158681,607.4003166,472.7370691,342.9239147,339.7462482,309.114034,255.8317785,266.8268443,525.8586913,82.9134935,700.1583202,306.3352873,566.4026421,473.6304196,507.0365992,533.163505,203.079061,170.6669965,311.8062304,983.6479199,557.253168
