# Pathway	PD_100P_Abundance	PD_104P_Abundance	PD_105P_Abundance	PD_107P_Abundance	PD_108S_Abundance	PD_109S_Abundance	PD_10P_Abundance	PD_110S_Abundance	PD_111P_Abundance	PD_112S_Abundance	PD_113P_Abundance	PD_114P_Abundance	PD_115S_Abundance	PD_116P_Abundance	PD_117_Abundance	PD_118_Abundance	PD_119P_Abundance	PD_11P_Abundance	PD_120S_Abundance	PD_121S_Abundance	PD_122S_Abundance	PD_123P_Abundance	PD_126P_Abundance	PD_127S_Abundance	PD_128S_Abundance	PD_129P_Abundance	PD_12P_Abundance	PD_130S_Abundance	PD_131P_Abundance	PD_134S_Abundance	PD_137P_Abundance	PD_138S_Abundance	PD_13P_Abundance	PD_140S_Abundance	PD_141P_Abundance	PD_142S_Abundance	PD_145P_Abundance	PD_146S_Abundance	PD_147_Abundance	PD_148P_Abundance	PD_149S_Abundance	PD_14P_Abundance	PD_150P_Abundance	PD_151S_Abundance	PD_152P_Abundance	PD_153S_Abundance	PD_156P_Abundance	PD_157S_Abundance	PD_158P_Abundance	PD_159S_Abundance	PD_15P_Abundance	PD_160P_Abundance	PD_161S_Abundance	PD_162P_Abundance	PD_163S_Abundance	PD_164P_Abundance	PD_165S_Abundance	PD_166_Abundance	PD_167P_Abundance	PD_169P_Abundance	PD_16P_Abundance	PD_170S_Abundance	PD_171P_Abundance	PD_172S_Abundance	PD_173P_Abundance	PD_174S_Abundance	PD_175P_Abundance	PD_176S_Abundance	PD_177P_Abundance	PD_178S_Abundance	PD_179P_Abundance	PD_180S_Abundance	PD_181P_Abundance	PD_182S_Abundance	PD_183P_Abundance	PD_184S_Abundance	PD_188S_Abundance	PD_189P_Abundance	PD_190S_Abundance	PD_191P_Abundance	PD_192S_Abundance	PD_193P_Abundance	PD_194S_Abundance	PD_195_Abundance	PD_196_Abundance	PD_197_Abundance	PD_198_Abundance	PD_199P_Abundance	PD_1P_Abundance	PD_200S_Abundance	PD_203_Abundance	PD_204_Abundance	PD_205P_Abundance	PD_206S_Abundance	PD_207P_Abundance	PD_208S_Abundance	PD_209P_Abundance	PD_210S_Abundance	PD_211P_Abundance	PD_212S_Abundance	PD_213S_Abundance	PD_214S_Abundance	PD_215S_Abundance	PD_216S_Abundance	PD_217P_Abundance	PD_218S_Abundance	PD_221P_Abundance	PD_222S_Abundance	PD_223P_Abundance	PD_224S_Abundance	PD_225P_Abundance	PD_226S_Abundance	PD_227P_Abundance	PD_228S_Abundance	PD_229P_Abundance	PD_230S_Abundance	PD_231P_Abundance	PD_232S_Abundance	PD_25P_Abundance	PD_26P_Abundance	PD_27P_Abundance	PD_28P_Abundance	PD_29P_Abundance	PD_2P_Abundance	PD_30P_Abundance	PD_31P_Abundance	PD_32P_Abundance	PD_33P_Abundance	PD_34P_Abundance	PD_35P_Abundance	PD_36P_Abundance	PD_38P_Abundance	PD_39P_Abundance	PD_3P_Abundance	PD_40P_Abundance	PD_41P_Abundance	PD_42P_Abundance	PD_43P_Abundance	PD_44P_Abundance	PD_45P_Abundance	PD_46P_Abundance	PD_47P_Abundance	PD_48P_Abundance	PD_4P_Abundance	PD_50P_Abundance	PD_51P_Abundance	PD_52P_Abundance	PD_53P_Abundance	PD_54P_Abundance	PD_55P_Abundance	PD_56P_Abundance	PD_57P_Abundance	PD_58P_Abundance	PD_59P_Abundance	PD_5P_Abundance	PD_60P_Abundance	PD_63P_Abundance	PD_64P_Abundance	PD_65P_Abundance	PD_66P_Abundance	PD_6P_Abundance	PD_70P_Abundance	PD_73P_Abundance	PD_74P_Abundance	PD_75P_Abundance	PD_76P_Abundance	PD_77P_Abundance	PD_78P_Abundance	PD_79S_Abundance	PD_7P_Abundance	PD_81P_Abundance	PD_82P_Abundance	PD_83P_Abundance	PD_84P_Abundance	PD_8P_Abundance	PD_9P_Abundance	PD_Extr_neg_plate1_Abundance	PD_Extr_neg_plate2_Abundance	PD_Extr_neg_plate3_Abundance	PD_Extr_pos_plate1_Abundance	PD_Extr_pos_plate2_Abundance	PD_Extr_pos_plate3_Abundance	PD_Lib_neg_plate1_Abundance	PD_Lib_neg_plate2_Abundance	PD_Lib_pos_plate1_Abundance	PD_Lib_pos_plate2_Abundance
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	0	0	0	0	0	0	0	78.6256468188	0	70.7387408472	23.7137139825	0	0	0	0	17.3781087602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9203945625	0	0	9.2794608724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7222394872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7839498899	0	0	0	0	0	0	0	0	19.9368363618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2942853335	0	0	0	0	0	0	0	0	28.5721923446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7317772009	0	0	9.2980975164	0	0	0	11.1297999351	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5913578166	0	0	0	0	0	11.0440781125	0	0	31.2799967984	0	15.6675219261	0	0	0	0	0	0	0	0	10.9053564045	0	0	0	0	0	0	0	0	0	0	0
PWY-7391: isoprene biosynthesis II (engineered)	34.0838868540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.6769605040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0274730817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.8272454069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.1896161715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.0863381547	0	0	0	0	0	0	0	0	0	17.1844581892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582.1839354107	0	0	809.6143289713	789.6277061682
PWY-7392: taxadiene biosynthesis (engineered)	85.4192306925	399.0801834655	46.8819380642	0	73.5788518865	415.7718218297	36.8584225433	606.3635092073	290.2590618021	0	294.3731741543	462.2150002914	918.4045054421	191.8273763424	113.2662506190	89.9307531975	357.9431563539	90.6363306582	108.6180265956	130.1427101930	99.8287807547	202.1617360153	61.4638117310	245.0781824945	89.1426460088	283.1944784506	131.6758871494	609.7318679524	116.2973648754	446.7111638734	312.9616899732	409.0890806274	383.3285963227	151.4007838784	27.5609309930	0	381.2788873458	578.4598630017	469.6441724611	100.1122676337	101.7992322942	0	894.7360430197	0	0	599.8761921581	125.5335418435	395.4249476571	241.9628779661	471.3781777361	239.4676718966	173.4474509552	0	254.3462300694	148.3838296309	343.6159766543	659.2276576930	47.8895164921	517.9291436345	321.1502468406	122.4817450265	352.8757213169	280.0654807971	247.3647137264	278.3911656917	444.0571985018	428.0929859993	198.0017051625	364.5738415319	246.2840364734	277.9087469748	238.3746067194	342.2918428749	0	733.0728960316	859.9033502279	0	0	254.7203322757	0	0	508.6288802721	0	284.7014150844	646.9957724983	155.0464269642	212.2215583442	0	93.6486354929	193.1678459529	359.5125457530	133.8946158446	297.8631325961	400.6424225264	53.0891226615	201.2058514160	250.1406314310	169.3831480206	0	0	589.1605313499	287.3418784661	895.3113660221	0	0	0	430.4570204371	121.7330665423	470.1836912628	313.1384332843	744.1803379747	708.6149615741	213.8391813436	219.7444433019	264.6441070445	0	269.1308828432	539.7457408508	146.6931591425	0	150.4952803603	0	264.6996575995	120.3559796842	131.6122185564	234.0220760506	393.6672020920	0	415.0197056066	0	0	0	73.9431526773	245.0807073709	411.2592998988	253.0101107432	446.2646274455	84.0377235290	56.1625205178	255.3259410969	62.0911090517	191.4735482108	277.8253782419	275.0482760700	0	487.4299914755	105.0933098535	148.9250982730	116.3246799093	515.6238388247	374.3480405829	0	355.1506505927	81.7594065998	235.0435217150	225.8981010443	139.3056275323	203.9139305079	105.3175192865	84.6835852382	97.0243558206	75.2305631750	74.4921841614	907.1213398182	113.3383514824	401.9240052551	128.0027781945	53.6101084331	104.6529828445	18.8386130597	0	241.9924735414	0	153.2970167760	356.5990284035	233.9813943281	0	0	0	0	0	1357.5214838979	0	0	1028.0286029550	946.2374582196
PWY-7396: butanol and isobutanol biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209.1001360281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.7424738182	167.1910963797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803.0560927823	0	0	670.3701407290	638.7426477000
PWY-7399: methylphosphonate degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6036742627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0155759138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3019614195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1627629676	0	0	0	0	0	0	0	0	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	857.4641886441	1660.8752911430	1200.5093437297	0	1987.0647326673	1461.4353276243	423.3714637196	975.7149021716	1854.6750102519	0	2667.8308366221	1526.1085553110	1440.2359267608	1867.1288562526	847.9429799171	1334.4954970496	1542.6875816682	1164.5543125209	1031.0077086730	1132.8233003000	1368.9236113715	1179.6684127824	1382.7680682140	1591.9782988070	1222.5277647202	255.6108792791	930.0241980373	1102.9390188811	1049.1819943828	2113.3320640426	1122.6796423527	592.3147937971	571.1450994897	2467.1427790004	1427.4208701734	1119.6656665820	1658.7820583671	660.9036760927	1582.9736096665	2218.4856368659	832.8274688562	878.6162431576	1432.2552217647	1277.1638728462	1524.5842611073	2932.0598868290	1197.4099962862	1623.8017082801	1343.7129648980	2204.4152346526	1441.3415674879	1605.7829436874	0	2019.1503925629	1950.9070692221	1006.9381726398	1713.4582623962	884.4014576787	1201.5078782115	1553.4044221530	1383.6351485762	1248.4818241315	820.0268346109	642.5047825594	1320.3513613846	1095.9027609604	1163.9160184551	1814.4452620517	772.4328090654	1586.6720137974	3713.9725042463	1171.9229578182	1285.0780998291	0	2362.9420307166	2160.5489645319	1315.2262692971	1708.8186575265	1504.8768752532	0	0	1632.6117056818	1265.1407302582	2191.4343855213	3165.3161273127	1831.3652850392	1426.3358964899	0	868.7347759898	604.5721602602	1148.0482308350	1144.3717985862	1253.8274585889	1330.2197398403	2149.9916573535	1305.8227293983	1534.8664733103	1055.6100439305	0	0	1176.0275040187	665.5738247513	2129.9192839243	0	0	0	1298.5359765223	1389.1366815930	2905.0171421152	1464.3715974851	2065.8161086333	1189.9643629934	1401.0726124286	1128.5346451831	2472.1411760172	1838.0999081804	1440.1587836615	2653.4352374693	955.0684197130	0	1335.6726315413	17.1343155446	647.4239631562	509.5536130028	661.9566275322	1252.4682336205	1366.2855693345	951.8304459482	1076.5587130575	1773.7442485068	0	940.8009579309	507.5005007215	1536.7416330658	1691.3274507554	909.2498956011	1607.7933351122	872.0394687280	1285.7473460438	1460.5743137242	1484.3809739701	1302.1293731207	1247.1315306350	968.2148334323	0	1054.8535717606	706.1647531384	1060.2551924925	1013.7195501155	2381.3374129299	2201.6546284207	1634.0236219287	1152.2513919135	613.3010582772	1465.3692584579	993.7405333661	1256.2180559860	1296.2143108719	748.3861066206	810.7458732821	897.6128109774	864.5560315124	0	1699.9051276655	910.9309037195	1216.6345843704	571.8564389263	744.0735157330	1652.0366672337	0	0	731.6569533873	0	348.8478842987	1096.7011868300	752.3681192598	0	0	0	0	0	4096.9295757690	0	0	3097.9744498924	3042.3899922177
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	0	0	0	0	0	0	70.6411072277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1710580018	0	0	0	0	0	57.4905825781	0	0	130.7581648971	31.5344012271	0	0	0	17.1079441650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.0944068193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3492675766	0	0	0	0	0	0	0	66.9192560283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.4428738016	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5566641908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4021020601	0	0	42.9368772583	35.1649490979
PWY-7411: phosphatidate biosynthesis (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.3212615086	0	0	40.5329034976	49.7327044114
PWY-7413: dTDP-6-deoxy-&alpha;-D-allose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2254441273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7420: monoacylglycerol metabolism (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6585362274	0	0	0	5.5368084369
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	15.0657054959	0	0	0	10.2350330621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787.6529257319	0	0	0	0	0	0	0	0	0	0	0	9.1079350473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1169775009	0	0	0	0	0	0	0	0	23.6268617801	6.3866778969	47.6913584538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3172213205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0946662761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.7751792056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9852054347	0	0	0	12.6166090947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.9927115892	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7446: sulfoquinovose degradation I	10.5920821404	0	4.5736795493	0	0	0	0	0	0	0	59.9393193025	6.9264986331	0	0	0	0	19.4572251134	0	4.5151712137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3386564454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.2758644667	0	0	0	0	0	0	90.3894634145	0	34.4678462765	0	0	0	0	0	0	0	0	0	0	0	232.9336562242	0	0	0	0	0	0	0	0	0	0	0	0	41.0055864512	0	13.3961995590	0	0	0	0	0	0	15.6056015837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.2606646107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.2138697984	0	39.8310376535	0	0	0	0	0	0	228.4336928986	0	0	6.2582172957	0	74.0135205931	0	0	15.7461224493	0	0	0	0	0	72.5621450074	0	32.6693093603	0	0	0	0	0	0	0	0	26.0946390778	0	0	0	0	0	0	583.6314459189	0	0	241.5693242283	237.0459910467
PWY-7456: &beta;-(1,4)-mannan degradation	99.1780660389	527.4003485796	87.5007927838	0	288.3720313673	564.6354920113	66.9244222899	372.5526409878	785.0473080723	0	355.8849501719	477.1438423157	110.8948930124	567.2114028228	199.5704513107	383.4806429311	134.7272772965	332.0452831263	178.7002533551	191.5382648502	319.6744799940	207.3844005518	146.3374795455	400.8406228817	480.7852918427	101.6770745621	247.2814438894	379.5383917534	0	675.1288270676	407.6268128897	248.1557790097	127.4358254187	598.3038767104	42.1756594815	351.0088181541	463.5837336157	339.8491544252	552.4828630981	574.3191214422	162.2187266455	100.1200019609	353.5630825673	332.3126410437	156.8659264054	454.6590799402	128.8672370278	378.2632499539	470.1916033689	313.8435146696	495.8148269371	360.8106343995	0	540.9661892852	456.4478375736	396.9768029188	622.8408284210	302.3919801784	484.1928740672	363.5584944139	300.0165372102	270.3732545803	602.5618889946	166.4142631909	354.8952094548	410.9853850835	347.0161752474	315.1724673063	300.8142124082	876.1669869810	204.5631326206	407.5144080119	268.2406434633	0	677.7063432610	858.5375566669	472.1415047893	214.6097719637	536.5450852489	0	0	464.8643392199	348.5874825679	309.2385096390	877.8318382411	398.3753026698	338.8882838545	0	158.2137098668	231.8273941455	442.8441126225	317.5760989798	349.3025754541	759.0889208645	357.6536821378	612.8221235622	458.3856184475	479.5131901882	0	0	637.7142758462	198.1537444458	918.4758356250	0	0	0	488.6994823020	512.2610526950	408.4839693487	653.4500448463	661.0433652763	455.7390181818	433.6074289102	484.4420543059	280.1477802734	305.7272893138	302.5910426191	473.3613931424	193.1111353762	0	155.1744680666	13.2662996805	169.4953547170	152.5836494687	229.3298331808	330.2945256819	449.1326199511	484.3033224676	346.5821415410	158.1871582509	0	95.9556973307	110.1161012531	438.6132069284	0	285.7320067864	15.0256449166	270.8436166484	244.4116469054	397.8520541996	224.3408887050	288.7270280313	289.0809816631	250.2989222870	0	325.5790145711	88.6030357093	325.4569874557	288.6475511198	0	516.6238959711	290.4408155835	397.4829234256	167.8211286054	312.6042436587	179.3175645867	102.0949432854	403.9762573779	82.3857918478	245.9444104499	234.8138885782	46.9840871921	46.7774203179	237.3234404940	304.1495680334	252.0753800638	211.5489544061	171.3268830983	338.0205928317	0	0	404.3844802930	0	52.0506608906	266.3021960012	173.7157642641	0	0	0	0	0	0	0	0	0	0
PWY-7511: protein ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.8492631512	0	0	89.2419643514	29.8547211298
PWY-7527: L-methionine salvage cycle III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.3065258206	0	0	186.8446341393	154.0685795145
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461.4507604078	0	0	363.8613978666	331.5741682944
PWY-7546: diphthamide biosynthesis II (eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9305312510	7.9476370854
PWY-7560: methylerythritol phosphate pathway II	853.7328881103	1800.2292465476	817.0478261181	0	2042.9839532880	1723.0228588069	604.8216033361	1102.9764222500	1276.9571260832	0	1875.0869472906	1161.0963801759	1359.8229656107	2312.5031565295	1312.3996305759	1344.8532353831	1125.8606037124	1762.5061541708	1079.5351462109	1320.6600667043	1496.1119144821	550.9792629238	1310.0621515913	1444.3426634283	1738.0224016231	777.7433526722	1023.0251119292	1314.3361151931	145.9085464788	2654.3637522295	1918.2280387001	1275.2719772961	947.7109558806	2812.6915182648	1411.3659723659	1633.8454818488	1977.9693919001	1359.0577317387	1257.7156845501	2122.2894421926	936.6664693296	1316.2277202827	1291.7410497184	1522.7940887924	1126.0805282750	2456.1264167743	1451.4928981359	1618.0763071806	2129.5961111087	2468.4766812689	1294.6336039424	1639.3357434287	0	1615.3308827312	1879.1081947351	1098.8372138762	1673.9480085461	1396.7097022313	1396.7438192186	1493.6985195255	1519.6230989075	1415.7216346570	1052.2014465548	724.7807218912	1237.9081310193	1828.1720445874	988.3728449879	1609.5846539479	1243.6573449461	1631.3226172283	3400.7749900843	1610.6754152964	1396.8988544069	0	2184.8472598825	2520.5332399762	1495.0298080549	1813.6950312483	1459.3317931023	0	0	1180.0336916642	1429.8089032099	1717.2816482347	2487.1058945032	1787.1993433842	1349.0046900674	0	512.2275291512	1521.7863633207	1395.1415885554	1135.5520493174	1035.2462844098	1531.3928268201	2549.8473840717	1130.7149521355	2321.1644453886	1604.0866194475	0	0	1315.4264442972	1366.0257531097	1858.4909717185	0	0	0	1584.4058380789	1703.4551359873	2130.0746538019	2659.7912768203	2187.2497994501	1142.1834979684	1487.2268785570	1615.5123561439	2492.7695114109	2734.4544216785	2343.2423806029	1968.0458574524	998.0842816009	0	1242.9790456710	0	794.3453120359	644.4973317607	897.3128173689	1166.2944879568	1286.7115436401	1119.7330974394	1312.9226818415	1958.0563654142	0	1579.6917909966	395.6696506481	1187.0094068513	1391.3735603049	973.4685366053	1606.1954390486	742.3034620726	1565.5308398579	1210.6459252758	1188.1197239370	1331.6637858283	1209.7867734581	782.6844570919	24.8973626967	1310.3826281392	660.1448849705	972.3970160334	1335.8027221190	1843.1376291988	2493.0154565017	1661.9589711510	1101.6457328650	361.4642855387	1006.3001194395	856.6592533139	1241.2598098812	1166.6233783773	908.6980175785	1209.5882253822	787.2139419171	832.4547415312	239.7605262982	1527.1079818209	980.6504092747	984.5993068695	935.8654897373	817.6972301435	1450.0549173508	1366.0889543294	0	1139.5719979286	0	609.2587820965	1027.8736801111	1518.7738467885	0	0	0	0	0	3267.5071856163	0	0	2234.3621729133	2140.7958530913
PWY-7574: propanoyl-CoA degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2093812797	0	0	0	0
