feature	metadata	value	coef	abs coef	stderr	N	N.not.0	pval	qval	p-val rank	q-val adjusted for block	Log q val
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Evtepia.s__Evtepia.gabavorous	Group	PD	0.552918873	0.552918873	0.272291489	146	82	0.044243367	0.403585835	1	0.201792918	0.695094081
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.shahii	Group	PD	-0.552880131	0.552880131	0.294509066	146	88	0.062619764	0.466065506	2	0.24914672	0.603544826
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Agathobaculum.s__Agathobaculum.butyriciproducens	Group	PD	-0.551892341	0.551892341	0.236194254	146	107	0.020920601	0.276689374	3	0.129625582	0.887309281
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerobutyricum.s__Anaerobutyricum.soehngenii	Age	Age	0.547031994	0.547031994	0.162465522	146	96	0.000988162	0.086958232	1	0.092393122	1.034360359
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Butyribacter.s__Butyribacter.intestini	Group	PD	-0.539499054	0.539499054	0.17680704	146	24	0.002740042	0.129986878	1	0.044555471	1.351098965
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Gallintestinimicrobium.s__Gallintestinimicrobium.propionicum	Group	PD	-0.537365399	0.537365399	0.208486581	146	75	0.011017918	0.203127165	2	0.087801811	1.056496524
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Flavonifractor.s__Flavonifractor.plautii	Group	PD	0.536273681	0.536273681	0.229243222	146	65	0.020774999	0.276689374	3	0.129625582	0.887309281
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__F23.B02.s__F23.B02.sp001916715	Group	PD	-0.534725853	0.534725853	0.313992677	146	36	0.090854546	0.510905214	4	0.303179126	0.518300704
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UBA3402.s__UBA3402.sp003478355	Group	PD	-0.532841861	0.532841861	0.142644122	146	29	0.000274772	0.041105827	5	0.011418285	1.942399111
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.acetigignens	Group	PD	-0.531241509	0.531241509	0.240390506	146	56	0.02878364	0.317507342	6	0.151620866	0.819241028
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerobutyricum.s__Anaerobutyricum.soehngenii	Sex_Male1_Female2	Female	0.528694544	0.528694544	0.335822761	146	96	0.117735533	0.559342069	1	0.768661134	0.114265078
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Alitiscatomonas.s__Alitiscatomonas.sp900066535	Group	PD	-0.520963885	0.520963885	0.1689197	146	40	0.002473356	0.123338034	1	0.042047057	1.376264394
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Clostridium_A.s__Clostridium_A.leptum	Sex_Male1_Female2	Female	0.518924112	0.518924112	0.222699314	146	66	0.021269571	0.276689374	1	0.527122424	0.278088508
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.103.s__CAG.103.sp000432375	Sex_Male1_Female2	Female	-0.510180688	0.510180688	0.355700073	146	44	0.153781991	0.614880442	2	0.845800952	0.07273183
