Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_204_filtered_prinseq_2	pass	0.0	pass	126.522891423	Sanger / Illumina 1.9	pass	506.5 Mbp	60-151	Conventional base calls	pass	warn	warn	3980421.0	pass	warn	pass	48.0	97.9782652838	PD_204_filtered_prinseq_2.fastq	fail	pass
PD_205P_filtered_prinseq_1	pass	0.0	pass	136.767399278	Sanger / Illumina 1.9	pass	435.6 Mbp	60-151	Conventional base calls	pass	pass	warn	3166482.0	pass	warn	pass	45.0	97.159028326	PD_205P_filtered_prinseq_1.fastq	fail	pass
PD_205P_filtered_prinseq_2	pass	0.0	pass	136.692766294	Sanger / Illumina 1.9	pass	435.4 Mbp	60-151	Conventional base calls	pass	pass	warn	3166482.0	pass	pass	pass	46.0	97.1302391997	PD_205P_filtered_prinseq_2.fastq	fail	pass
PD_206S_filtered_prinseq_1	pass	0.0	pass	132.404969138	Sanger / Illumina 1.9	pass	732.3 Mbp	60-151	Conventional base calls	pass	warn	warn	5497935.0	pass	warn	pass	48.0	98.0683125477	PD_206S_filtered_prinseq_1.fastq	fail	pass
PD_206S_filtered_prinseq_2	pass	0.0	pass	132.312355457	Sanger / Illumina 1.9	pass	731.8 Mbp	60-151	Conventional base calls	pass	warn	warn	5497935.0	pass	warn	pass	48.0	98.1322817311	PD_206S_filtered_prinseq_2.fastq	fail	pass
PD_207P_filtered_prinseq_1	pass	0.0	pass	130.452915319	Sanger / Illumina 1.9	pass	642.4 Mbp	60-151	Conventional base calls	pass	warn	warn	4895913.0	pass	pass	pass	48.0	97.0821011624	PD_207P_filtered_prinseq_1.fastq	fail	pass
PD_207P_filtered_prinseq_2	pass	0.0	pass	130.43712664	Sanger / Illumina 1.9	pass	642.4 Mbp	60-151	Conventional base calls	pass	warn	warn	4895913.0	pass	pass	pass	48.0	97.0950841948	PD_207P_filtered_prinseq_2.fastq	fail	pass
PD_208S_filtered_prinseq_1	pass	0.0	pass	132.671712392	Sanger / Illumina 1.9	pass	516.4 Mbp	60-151	Conventional base calls	pass	warn	warn	3869546.0	pass	warn	pass	48.0	97.8715350704	PD_208S_filtered_prinseq_1.fastq	fail	pass
PD_208S_filtered_prinseq_2	pass	0.0	pass	132.623728468	Sanger / Illumina 1.9	pass	516.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3869546.0	pass	warn	pass	48.0	97.8419820089	PD_208S_filtered_prinseq_2.fastq	fail	pass
PD_209P_filtered_prinseq_1	pass	0.0	pass	132.362957945	Sanger / Illumina 1.9	pass	671.6 Mbp	60-151	Conventional base calls	pass	warn	warn	5044083.0	pass	warn	pass	46.0	97.1908899601	PD_209P_filtered_prinseq_1.fastq	fail	pass
PD_209P_filtered_prinseq_2	pass	0.0	pass	132.327113174	Sanger / Illumina 1.9	pass	671.4 Mbp	60-151	Conventional base calls	pass	warn	warn	5044083.0	pass	warn	pass	46.0	97.2672923922	PD_209P_filtered_prinseq_2.fastq	fail	pass
PD_210S_filtered_prinseq_1	pass	0.0	pass	133.575952202	Sanger / Illumina 1.9	pass	579.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4315339.0	pass	warn	pass	46.0	98.0400544821	PD_210S_filtered_prinseq_1.fastq	fail	pass
PD_210S_filtered_prinseq_2	pass	0.0	pass	133.444338904	Sanger / Illumina 1.9	pass	579.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4315339.0	pass	pass	pass	46.0	98.0898592465	PD_210S_filtered_prinseq_2.fastq	fail	pass
PD_211P_filtered_prinseq_1	pass	0.0	pass	134.691403104	Sanger / Illumina 1.9	pass	5 Mbp	60-151	Conventional base calls	pass	pass	warn	37246.0	pass	warn	pass	44.0	98.2709552704	PD_211P_filtered_prinseq_1.fastq	fail	pass
PD_211P_filtered_prinseq_2	pass	0.0	pass	134.469902808	Sanger / Illumina 1.9	pass	5 Mbp	60-151	Conventional base calls	pass	warn	warn	37246.0	pass	warn	pass	44.0	98.2494764538	PD_211P_filtered_prinseq_2.fastq	fail	pass
PD_212S_filtered_prinseq_1	pass	0.0	pass	132.162887552	Sanger / Illumina 1.9	pass	2 Mbp	60-151	Conventional base calls	pass	pass	warn	15127.0	pass	fail	pass	42.0	98.4993719839	PD_212S_filtered_prinseq_1.fastq	fail	pass
PD_212S_filtered_prinseq_2	pass	0.0	pass	132.066239175	Sanger / Illumina 1.9	pass	2 Mbp	60-151	Conventional base calls	pass	pass	warn	15127.0	pass	warn	pass	42.0	98.4663185033	PD_212S_filtered_prinseq_2.fastq	fail	pass
PD_213S_filtered_prinseq_1	pass	0.0	pass	132.513380987	Sanger / Illumina 1.9	pass	738.3 Mbp	60-151	Conventional base calls	pass	pass	warn	5538717.0	pass	warn	pass	46.0	98.1574796847	PD_213S_filtered_prinseq_1.fastq	fail	pass
PD_213S_filtered_prinseq_2	pass	0.0	pass	132.482250312	Sanger / Illumina 1.9	pass	738.1 Mbp	60-151	Conventional base calls	pass	pass	warn	5538717.0	pass	warn	pass	46.0	98.1092819681	PD_213S_filtered_prinseq_2.fastq	fail	pass
PD_214S_filtered_prinseq_1	pass	0.0	pass	135.693832921	Sanger / Illumina 1.9	pass	594.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4357379.0	pass	warn	pass	46.0	96.7427122446	PD_214S_filtered_prinseq_1.fastq	fail	pass
